	Plac.mean	E2.mean	E2c_Plac
1415740_at	1350.14367947681	1196.82867478511	0.88644541538637
1415741_at	326.320259334062	297.412177901973	0.911411931667731
1415742_at	178.78573093281	159.390851017052	0.891518859952832
1415743_at	398.416619973302	337.540340799585	0.847204468584177
1415744_at	794.313457245862	718.947902196176	0.905118622425204
1415745_a_at	330.771304264317	325.311474888593	0.983493642570151
1415746_at	408.331597830715	395.893874752004	0.969540140550504
1415747_s_at	1103.40901814704	1045.48285576621	0.947502547624536
1415748_a_at	216.137160201468	179.404821144672	0.830050792642245
1415749_a_at	460.114816519588	437.116595297936	0.950016342886725
1415750_at	102.121120749492	89.556384560983	0.876962413883695
1415751_at	720.570427146007	683.225915050775	0.948173682004764
1415752_at	446.456050671058	419.428065755302	0.939461040173762
1415753_at	479.542523177192	403.809125029734	0.842071569282972
1415754_at	472.694335561744	460.706654119116	0.974639676127318
1415755_a_at	950.279274373168	823.523103909268	0.866611664715605
1415756_a_at	647.032230720844	590.303452947615	0.912324649252745
1415757_at	311.469211522641	265.123981680227	0.851204458970914
1415758_at	227.437989608874	193.393271731787	0.85031208754688
1415759_a_at	796.888382399554	794.400819692371	0.996878405103995
1415760_s_at	443.475503193184	408.797538567117	0.921804103323919
1415761_at	279.145478105168	251.071740938035	0.899429726185442
1415762_x_at	380.246350895338	333.181195579144	0.87622457071482
1415763_a_at	371.826560473052	347.33111963685	0.934121325800293
1415764_at	1119.58861280805	1057.09550141152	0.944182076629208
1415765_at	178.188011211519	151.895032955488	0.852442495557014
1415766_at	163.608047099616	144.44851105507	0.88289368167276
1415767_at	487.048443756948	428.482913664945	0.879754199314864
1415768_a_at	973.112909597299	825.408110571856	0.848214120305353
1415769_at	175.74876402808	166.024496426248	0.94466949650765
1415770_at	123.867477031636	122.633676966081	0.990039354194322
1415771_at	1723.67934890139	1543.55959890132	0.895502751068593
1415772_at	108.283312626821	112.785783146923	1.04158046527094
1415773_at	541.564842338175	508.989861715429	0.939850267085091
1415774_at	87.9425393913035	90.7849830843432	1.03232160127185
1415775_at	1383.70053002746	1335.67749368242	0.965293764580628
1415776_at	77.4726998403688	72.22927573499	0.932319073477718
1415777_at	14.441082470441	15.3636858814791	1.06388741376739
1415778_at	1285.692408789	1217.67983114489	0.947100428392378
1415779_s_at	1971.34815096665	1864.73906402056	0.945920720856025
1415780_a_at	69.387472039736	79.9228329074188	1.1518337613114
1415781_a_at	2942.60775318356	2818.85542263699	0.957944673253619
1415782_at	1434.54919874085	1367.94942561315	0.953574423807735
1415783_at	1184.09045881692	1232.99084767962	1.0412978489089
1415784_at	186.60813145073	167.536216383051	0.897796977444602
1415785_a_at	904.194683527931	926.814170381728	1.02501616882499
1415786_at	51.4110170681351	51.9223585281897	1.00994614557765
1415787_at	103.87580250261	84.9529388383213	0.817831841406829
1415788_at	277.805009199545	269.400598709323	0.969747088022505
1415789_a_at	117.954135275096	110.886588585333	0.940082247449152
1415790_at	133.993701580825	118.824868333477	0.886794430869584
1415791_at	337.456295509202	329.263469751708	0.975721816820364
1415792_at	263.012011726486	232.451970592553	0.883807431708808
1415793_at	106.193756330748	106.565430835178	1.00349996569734
1415794_a_at	109.96068888061	99.8797283347893	0.908322140862847
1415795_at	26.7912994383398	27.0226608184015	1.00863569087398
1415796_at	1315.79112433177	1390.3380993927	1.05665562997227
1415797_at	125.976722026652	128.787252470972	1.02230991884139
1415798_at	40.269761282785	38.3848315592105	0.95319242867277
1415799_at	477.839658193898	472.104428105871	0.987997584566957
1415800_at	92.5130323071113	82.1166913591385	0.887622957666542
1415801_at	39.5238404592076	40.3691289151882	1.02138679961662
1415802_at	1684.80707853451	1613.59792403578	0.957734535065776
