	control.mean	expr.mean	expr_control	expr_diff
1415758_at	227.437989608874	193.393271731787	0.85031208754688	-0.14968791245312
1415759_a_at	796.888382399554	794.400819692371	0.996878405103995	-0.00312159489600472
1415760_s_at	443.475503193184	408.797538567117	0.921804103323919	-0.0781958966760813
1415761_at	279.145478105168	251.071740938035	0.899429726185442	-0.100570273814558
1415762_x_at	380.246350895338	333.181195579144	0.87622457071482	-0.12377542928518
1415763_a_at	371.826560473052	347.33111963685	0.934121325800293	-0.0658786741997074
1415764_at	1119.58861280805	1057.09550141152	0.944182076629208	-0.0558179233707924
1415765_at	178.188011211519	151.895032955488	0.852442495557014	-0.147557504442986
1415766_at	163.608047099616	144.44851105507	0.88289368167276	-0.11710631832724
1415767_at	487.048443756948	428.482913664945	0.879754199314864	-0.120245800685136
1415768_a_at	973.112909597299	825.408110571856	0.848214120305353	-0.151785879694647
1415769_at	175.74876402808	166.024496426248	0.94466949650765	-0.05533050349235
1415770_at	123.867477031636	122.633676966081	0.990039354194322	-0.00996064580567846
1415771_at	1723.67934890139	1543.55959890132	0.895502751068593	-0.104497248931407
1415772_at	108.283312626821	112.785783146923	1.04158046527094	0.0415804652709437
1415773_at	541.564842338175	508.989861715429	0.939850267085091	-0.0601497329149093
1415774_at	87.9425393913035	90.7849830843432	1.03232160127185	0.0323216012718495
1415775_at	1383.70053002746	1335.67749368242	0.965293764580628	-0.0347062354193723
1415776_at	77.4726998403688	72.22927573499	0.932319073477718	-0.067680926522282
1415777_at	14.441082470441	15.3636858814791	1.06388741376739	0.0638874137673877
1415778_at	1285.692408789	1217.67983114489	0.947100428392378	-0.0528995716076218
1415779_s_at	1971.34815096665	1864.73906402056	0.945920720856025	-0.054079279143975
1415780_a_at	69.387472039736	79.9228329074188	1.1518337613114	0.1518337613114
1415781_a_at	2942.60775318356	2818.85542263699	0.957944673253619	-0.042055326746381
1415782_at	1434.54919874085	1367.94942561315	0.953574423807735	-0.0464255761922645
1415783_at	1184.09045881692	1232.99084767962	1.0412978489089	0.0412978489089046
1415784_at	186.60813145073	167.536216383051	0.897796977444602	-0.102203022555398
1415785_a_at	904.194683527931	926.814170381728	1.02501616882499	0.0250161688249939
1415786_at	51.4110170681351	51.9223585281897	1.00994614557765	0.00994614557764706
1415787_at	103.87580250261	84.9529388383213	0.817831841406829	-0.182168158593171
1415788_at	277.805009199545	269.400598709323	0.969747088022505	-0.0302529119774955
1415789_a_at	117.954135275096	110.886588585333	0.940082247449152	-0.0599177525508477
1415790_at	133.993701580825	118.824868333477	0.886794430869584	-0.113205569130416
