"df.prior" "var.prior" "var.post"
"1415712_at" 3.49143615602127 0.0111688328383084 0.0186692748818336
"1415713_a_at" 3.49143615602127 0.0111688328383084 0.015895168974595
"1415714_a_at" 3.49143615602127 0.0111688328383084 0.016420140183401
"1415715_at" 3.49143615602127 0.0111688328383084 0.014374613278669
"1415716_a_at" 3.49143615602127 0.0111688328383084 0.00927265495417612
"1415717_at" 3.49143615602127 0.0111688328383084 0.00726677608085381
"1415718_at" 3.49143615602127 0.0111688328383084 0.0114926106670213
"1415719_s_at" 3.49143615602127 0.0111688328383084 0.00845619752257107
"1415720_s_at" 3.49143615602127 0.0111688328383084 0.0278135991718231
"1415721_a_at" 3.49143615602127 0.0111688328383084 0.00568488031091926
"1415722_a_at" 3.49143615602127 0.0111688328383084 0.00911758049089733
"1415723_at" 3.49143615602127 0.0111688328383084 0.0114437369969071
"1415724_a_at" 3.49143615602127 0.0111688328383084 0.031989209454626
"1415725_at" 3.49143615602127 0.0111688328383084 0.0190198664794681
"1415726_at" 3.49143615602127 0.0111688328383084 0.0215161636824247
"1415727_at" 3.49143615602127 0.0111688328383084 0.0070634980986298
"1415728_at" 3.49143615602127 0.0111688328383084 0.0187713781261685
"1415729_at" 3.49143615602127 0.0111688328383084 0.0134620780615022
"1415730_at" 3.49143615602127 0.0111688328383084 0.0103275630311109
"1415731_at" 3.49143615602127 0.0111688328383084 0.0090066750058812
"1415732_at" 3.49143615602127 0.0111688328383084 0.00777868090885417
"1415733_a_at" 3.49143615602127 0.0111688328383084 0.009766663034188
"1415734_at" 3.49143615602127 0.0111688328383084 0.00775827475681178
"1415735_at" 3.49143615602127 0.0111688328383084 0.00635367008230417
"1415736_at" 3.49143615602127 0.0111688328383084 0.0168548893945207
"1415737_at" 3.49143615602127 0.0111688328383084 0.00563438643808202
"1415738_at" 3.49143615602127 0.0111688328383084 0.00921733641871287
"1415739_at" 3.49143615602127 0.0111688328383084 0.00617968316311656
"1415740_at" 3.49143615602127 0.0111688328383084 0.00848271086705395
